101,"atk"
106,"atk_per"
111,"hp_max"
121,"hp_max"
126,"hp_max_per"
141,"def"
151,"speed"
146,"def"
156,"speed"
161,"skill_rate"
166,"hit_rate"
171,"dodge_rate"
176,"crit_rate"
181,"crit_ratio"
186,"ignore_def"
191,"dodge_magic"
196,"res"
108,"real_rate"
330,"init_rage"
g,1
d,3
e,5
x,36
p,1,22
p,2,10001
p,3,11
p,4,10401
p,5,10403
p,6,37001
p,7,37002
p,8,18
p,9,10103
p,10,37
p,11,10048
p,12,10049
p,13,14
p,14,10
p,15,11
p,16,8
p,17,14001
p,18,14002
p,19,10901
p,20,10902
p,28,14003
p,21,25
p,25,24
p,20024,10906
p,29,39
p,30,38
p,31,10040
p,33,10051
p,34,10050
p,115,10041
p,40,41
p,120,10042
p,20050,10908
i,1,40101
i,2,40102
i,3,40103
i,4,40104
i,5,40105
i,6,40106
i,7,40107
i,8,40108
i,9,40109
i,10,40111
i,11,40112
i,12,40113
i,13,40114
i,14,40115
i,15,40116
i,16,40117
i,17,40118
i,35,40201
i,36,40202
i,37,40203
i,38,40204
i,39,40205
i,40,40206
i,41,40207
i,42,40208
i,43,40209
i,44,40211
i,45,40212
i,46,40213
i,47,40214
i,48,40215
i,49,40216
i,50,40217
i,51,40218
i,18,40301
i,19,40302
i,20,40303
i,21,40304
i,22,40305
i,23,40306
i,24,40307
i,25,40308
i,26,40309
i,27,40311
i,28,40312
i,29,40313
i,30,40314
i,31,40315
i,32,40316
i,33,40317
i,34,40318
i,52,40401
i,53,40402
i,54,40403
i,55,40404
i,56,40405
i,57,40406
i,58,40407
i,59,40408
i,60,40409
i,61,40411
i,62,40412
i,63,40413
i,64,40414
i,65,40415
i,66,40416
i,67,40417
i,68,40418
i,69,40110
i,70,40310
i,71,40210
i,72,40410
i,73,40119
i,74,40120
i,75,40319
i,76,40320
i,77,40219
i,78,40220
i,79,40419
i,80,40420
i,81,40501
i,82,40502
i,83,40503
i,84,40504
i,85,40511
i,86,40512
i,87,40513
i,88,40514
i,89,40521
i,90,40522
i,91,40523
i,92,40524
i,93,40531
i,94,40532
i,95,40533
i,96,40534
i,97,45041
i,98,45042
i,99,45043
i,100,45044
c,112,24500
c,214,24600
c,319,24700
c,431,24800
c,430,24801
c,427,24802
c,410,24803
c,517,24900
c,595,24901
c,552,24902
c,557,24903
c,558,24904
c,551,24905
c,553,24906
c,556,24907
c,103,25500
c,204,25600
c,302,25700
c,301,25701
c,303,25702
c,304,25703
c,401,25800
c,402,25801
c,403,25802
c,407,25803
c,588,25900
c,503,25901
c,505,25902
c,506,25903
c,512,25904
c,504,25905
c,507,25906
c,508,25907
c,108,26500
c,109,26600
c,313,26700
c,312,26701
c,311,26702
c,314,26703
c,424,26800
c,422,26801
c,423,26802
c,487,26803
c,417,26804
c,540,26900
c,542,26901
c,538,26902
c,537,26903
c,541,26904
c,539,26905
c,536,26906
c,544,26907
c,535,26908
c,10301,27700
c,10403,27800
c,10402,27801
c,10404,27802
c,10505,27900
c,10508,27901
c,10507,27902
c,10509,27903
c,20301,28700
c,20403,28800
c,20402,28801
c,20404,28802
c,20506,28900
c,20507,28901
c,20505,28902
c,20509,28903
c,106,24001
c,207,24011
c,306,24021
c,310,24022
c,308,24023
c,307,24024
c,415,24031
c,416,24032
c,413,24033
c,414,24034
c,411,24035
c,522,24041
c,520,24042
c,519,24043
c,518,24044
c,521,24045
c,524,24046
c,526,24047
c,589,24048
c,20,29103
c,7,29104
c,11,29105
c,17,29203
c,4,29204
c,8,29205
c,19,29303
c,6,29304
c,10,29305
c,12,29404
c,15,29406
c,13,29504
c,16,29506
c,18,29603
c,5,29604
c,9,29605
c,1,29903
c,2,29904
c,3,29905
c,14,29907
c,523,24810
c,564,24811
c,561,24812
c,562,24813
c,509,25810
c,510,25811
c,511,25812
c,515,25813
c,550,26810
c,548,26811
c,549,26812
c,587,26813
c,543,26814
c,10503,27810
c,10502,27811
c,10504,27812
c,20503,29810
c,20502,29811
c,20504,29812
c,533,29813
c,534,29814
c,531,29815
c,532,29816
c,529,29817
c,21,29801
c,22,29802
c,23,29803
c,24,29804
c,25,29805
c,26,29806
c,27,29807
c,28,29808
c,452,24710
c,440,25710
c,439,25711
c,441,25712
c,442,25713
c,446,26710
c,445,26711
c,444,26712
c,447,26713
c,434,24111
c,438,24112
c,436,24113
c,435,24114
s,2,162001
s,3,162001
s,4,162001
s,5,162001
s,6,162001
s,7,162001
s,8,162002
s,9,162002
s,10,162002
s,11,162002
s,12,162002
s,13,162002
s,14,162003
s,15,162003
s,16,162003
s,17,162003
s,18,162003
s,19,162003
s,20,162004
s,21,162004
s,22,162004
s,23,162004
s,24,162004
s,25,162004
s,26,162005
s,27,162005
s,28,162005
s,29,162005
s,30,162005
s,31,162005
s,32,162101
s,33,162101
s,34,162101
s,35,162101
s,36,162101
s,37,162101
s,38,162102
s,39,162102
s,40,162102
s,41,162102
s,42,162102
s,43,162102
s,44,162103
s,45,162103
s,46,162103
s,47,162103
s,48,162103
s,49,162103
s,50,162104
s,51,162104
s,52,162104
s,53,162104
s,54,162104
s,55,162104
s,56,162105
s,57,162105
s,58,162105
s,59,162105
s,60,162105
s,61,162105
s,62,162201
s,63,162201
s,64,162201
s,65,162201
s,66,162201
s,67,162201
s,68,162202
s,69,162202
s,70,162202
s,71,162202
s,72,162202
s,73,162202
s,74,162203
s,75,162203
s,76,162203
s,77,162203
s,78,162203
s,79,162203
s,80,162204
s,81,162204
s,82,162204
s,83,162204
s,84,162204
s,85,162204
s,86,162205
s,87,162205
s,88,162205
s,89,162205
s,90,162205
s,91,162205
s,92,162301
s,93,162301
s,94,162301
s,95,162301
s,96,162301
s,97,162301
s,98,162302
s,99,162302
s,100,162302
s,101,162302
s,102,162302
s,103,162302
s,104,162303
s,105,162303
s,106,162303
s,107,162303
s,108,162303
s,109,162303
s,110,162304
s,111,162304
s,112,162304
s,113,162304
s,114,162304
s,115,162304
s,116,162305
s,117,162305
s,118,162305
s,119,162305
s,120,162305
s,121,162305
s,122,162401
s,123,162401
s,124,162401
s,125,162401
s,126,162401
s,127,162401
s,128,162402
s,129,162402
s,130,162402
s,131,162402
s,132,162402
s,133,162402
s,134,162403
s,135,162403
s,136,162403
s,137,162403
s,138,162403
s,139,162403
s,140,162404
s,141,162404
s,142,162404
s,143,162404
s,144,162404
s,145,162404
s,146,162405
s,147,162405
s,148,162405
s,149,162405
s,150,162405
s,151,162405
s,152,162406
s,153,162406
s,154,162406
s,155,162406
s,156,162406
s,157,162406
s,158,162407
s,159,162407
s,160,162407
s,161,162407
s,162,162407
s,163,162407
s,164,162408
s,165,162408
s,166,162408
s,167,162408
s,168,162408
s,169,162408
